,PCS MODE,VISIT TYPE,SCHEDULED START TIME,DURATION,SCIENCE INSTRUMENT,TARGET NAME,CATEGORY,KEYWORDS,ADDITIONAL INSTRUMENTATION,PRIME
0,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 01:06:43,0 days 01:13:13,MIRI Medium Resolution Spectroscopy,J045853.89+643452.9,Star,Brown dwarfs,0,True
1,FINEGUIDE,PRIME WFSC ROUTINE,2022-11-21 02:32:03,0 days 01:32:08,WFSC NIRCam Fine Phasing,2MASS-05352161+6715458,Calibration,Focus test,0,True
2,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 04:36:46,0 days 01:29:19,MIRI Medium Resolution Spectroscopy,F2M1106-MIRI,Galaxy,"Active galactic nuclei, Emission line galaxies, Quasars",1,True
3,NONE,PARALLEL DARK CALIBRATION,,,NIRSpec Dark,,,,,
4,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 06:22:44,0 days 00:28:43,MIRI Medium Resolution Spectroscopy,F2M1106-BG,Unidentified,Blank field,1,True
5,NONE,PARALLEL SLEW CALIBRATION,,,NIRSpec Internal Lamp,,,,,
6,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 07:32:44,0 days 01:03:55,MIRI Medium Resolution Spectroscopy,CASSIOPEIA-A-KNOT1,ISM,Supernova remnants,0,True
7,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 08:43:36,0 days 01:03:55,MIRI Medium Resolution Spectroscopy,CASSIOPEIA-A-KNOT2,ISM,Supernova remnants,0,True
8,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 09:53:42,0 days 01:01:10,MIRI Medium Resolution Spectroscopy,CASSIOPEIA-A-KNOT3,ISM,Supernova remnants,0,True
9,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 11:02:45,0 days 01:03:55,MIRI Medium Resolution Spectroscopy,BACKGROUND-RETURN,Calibration,Telescope/sky background,0,True
10,MOVING,PRIME TARGETED MOVING,2022-11-21 12:47:08,0 days 01:37:25,MIRI Medium Resolution Spectroscopy,526-JENA,Solar System,Asteroid,0,True
11,MOVING,PRIME TARGETED MOVING,2022-11-21 15:32:55,0 days 01:51:36,NIRSpec IFU Spectroscopy,POLYMELE,Solar System,Asteroid,0,True
12,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 18:31:05,0 days 04:01:35,MIRI Imaging,TRAPPIST-1B,Star,"Exoplanet Systems, Exoplanets, M dwarfs, M stars",0,True
13,FINEGUIDE,PRIME TARGETED FIXED,2022-11-21 23:42:16,0 days 02:42:53,MIRI Medium Resolution Spectroscopy,SDSSJ0749-MIRI,Galaxy,"Active galactic nuclei, Emission line galaxies, Quasar-galaxy pairs",2,True
14,NONE,PARALLEL DARK CALIBRATION,,,NIRISS Dark,,,,,
15,NONE,PARALLEL SLEW CALIBRATION,,,NIRSpec Internal Lamp,,,,,
16,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 02:28:30,0 days 00:43:56,MIRI Medium Resolution Spectroscopy,SDSSJ0749-BG,Unidentified,Blank field,1,True
17,NONE,PARALLEL DARK CALIBRATION,,,NIRSpec Dark,,,,,
18,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 04:19:13,0 days 04:39:41,NIRSpec IFU Spectroscopy,BDF3299,Galaxy,"High-redshift galaxies, Lyman-alpha galaxies",2,True
19,NONE,PARALLEL DARK CALIBRATION,,,NIRISS Dark,,,,,
20,NONE,PARALLEL SLEW CALIBRATION,,,MIRI Anneal,,,,,
21,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 09:05:48,0 days 00:38:43,NIRSpec IFU Spectroscopy,BDF3299-BACKGROUND,Galaxy,High-redshift galaxies,0,True
22,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 10:20:55,0 days 00:51:06,MIRI Imaging,NGC-1566,Galaxy,Spiral galaxies,1,True
23,NONE,PARALLEL SLEW CALIBRATION,,,NIRSpec Internal Lamp,,,,,
24,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 11:16:45,0 days 00:48:21,MIRI Imaging,NGC-1566,Galaxy,Spiral galaxies,0,True
25,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 12:09:17,0 days 00:48:21,MIRI Imaging,NGC-1566,Galaxy,Spiral galaxies,0,True
26,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 13:02:22,0 days 00:48:21,MIRI Imaging,NGC-1566,Galaxy,Spiral galaxies,0,True
27,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 14:00:19,0 days 01:00:50,NIRCam Imaging,NGC-1566,Galaxy,Spiral galaxies,1,True
28,,,,,MIRI Imaging,,,,,
29,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 15:06:06,0 days 00:58:05,NIRCam Imaging,NGC-1566,Galaxy,Spiral galaxies,1,True
30,,,,,MIRI Imaging,,,,,
31,FINEGUIDE,PRIME TARGETED FIXED,2022-11-22 16:31:22,0 days 00:43:44,MIRI Imaging,MIRI-PT-5,Galaxy,"High-redshift galaxies, Starburst galaxies, Ultraluminous infrared galaxies",1,True
32,NONE,PARALLEL DARK CALIBRATION,,,NIRSpec Dark,,,,,
